organization_identifier,organization_formal_name,activity_identifier,activity_type_code,activity_media_name,activity_media_subdivision_name,activity_start_date,activity_start_time_time,activity_start_time_time_zone_code,activity_end_date,activity_end_time_time,activity_end_time_time_zone_code,activity_depth_height_measure_measure_value,activity_depth_height_measure_measure_unit_code,activity_depth_altitude_reference_point_text,activity_top_depth_height_measure_measure_value,activity_top_depth_height_measure_measure_unit_code,activity_bottom_depth_height_measure_measure_value,activity_bottom_depth_height_measure_measure_unit_code,project_identifier,activity_conducting_organization_text,monitoring_location_identifier,activity_comment_text,sample_aquifer,hydrologic_condition,hydrologic_event,sample_collection_method_method_identifier,sample_collection_method_method_identifier_context,sample_collection_method_method_name,sample_collection_equipment_name,result_detection_condition_text,characteristic_name,result_sample_fraction_text,result_measure_value,result_measure_measure_unit_code,measure_qualifier_code,result_status_identifier,statistical_base_code,result_value_type_name,result_weight_basis_text,result_time_basis_text,result_temperature_basis_text,result_particle_size_basis_text,precision_value,result_comment_text,usgsp_code,result_depth_height_measure_measure_value,result_depth_height_measure_measure_unit_code,result_depth_altitude_reference_point_text,subject_taxonomic_name,sample_tissue_anatomy_name,result_analytical_method_method_identifier,result_analytical_method_method_identifier_context,result_analytical_method_method_name,method_description_text,laboratory_name,analysis_start_date,result_laboratory_comment_text,detection_quantitation_limit_type_name,detection_quantitation_limit_measure_measure_value,detection_quantitation_limit_measure_measure_unit_code,preparation_start_date,provider_name,activity_start_date_time,activity_end_date_time
USGS-CA,USGS California Water Science Center,nwisca.01.01603480,Sample-Routine,Water,Surface Water,2016-04-26,10:15:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455315,"""L-1250071 Deleted FCC lab codes. FCCs sent in a different container and logged in separately. 5/5/2016 mec  Deleted CHL, LC3152.  Chlorophyll samples sent in a different container and logged in separately. 5/5/2016 mec""",NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,8.9,ug/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,Value or metadata reloaded per NWQL Rapi-Note 16-19,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2016-05-18,sample was dilutedsee result comment,Lower Reporting Limit,0.1,ug/l,2016-05-18,NWIS,2016-04-26T18:15:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01600823,Sample-Routine,Water,Surface Water,2016-01-05,10:15:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455350,A-0120005 Volume: 400 mL,NA,"Stable, normal stage",Routine sample,50.00,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,1.3,ug/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2016-01-27,NA,Lower Reporting Limit,0.1,ug/l,2016-01-27,NWIS,2016-01-05T18:15:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01606126,Sample-Routine,Water,Surface Water,2016-08-30,10:15:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455315,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,2.5,ug/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2016-09-22,NA,Lower Reporting Limit,0.1,ug/l,2016-09-22,NWIS,2016-08-30T18:15:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01605751,Sample-Routine,Water,Surface Water,2016-08-09,11:45:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455350,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,3,ug/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,The holding time for the processing of this sample has been exceeded,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2016-09-08,holding time exceededsee result comment,Lower Reporting Limit,0.1,ug/l,2016-09-08,NWIS,2016-08-09T19:45:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01700700,Sample-Routine,Water,Surface Water,2016-12-08,11:00:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455350,NA,NA,"Stable, normal stage",Routine sample,50.00,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,1,ug/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2016-12-15,NA,Lower Reporting Limit,0.1,ug/l,2016-12-15,NWIS,2016-12-08T19:00:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01607574,Sample-Routine,Water,Surface Water,2016-05-06,15:00:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455350,"""L-1390060 X=no sta id on sample 9.  Changed Station I.D. to """"Station 9"""" per Stumpner. 5/23/2016 mec. Updated SID, User Code and Station Name from Station 9/BCA/Station 9 per S. Gosselink. JPC 9/7/17  Changed Station I.D. to """"Station 9"""" per Stumpner.  Deleted all FCC lab codes - FCCs not receive",NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,24.1,ug/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2016-05-26,sample was diluted,Lower Reporting Limit,0.1,ug/l,2016-05-26,NWIS,2016-05-06T23:00:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01605843,Sample-Routine,Water,Surface Water,2016-08-23,08:30:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455315,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,8.4,ug/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2016-09-14,sample was diluted,Lower Reporting Limit,0.1,ug/l,2016-09-14,NWIS,2016-08-23T16:30:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01705742,Sample-Routine,Water,Surface Water,2017-06-07,10:30:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455315,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,2.6,ug/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2017-06-23,NA,Lower Reporting Limit,0.1,ug/l,2017-06-23,NWIS,2017-06-07T18:30:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01706517,Sample-Routine,Water,Surface Water,2017-07-11,11:15:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455315,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,2.4,ug/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2017-07-28,NA,Lower Reporting Limit,0.1,ug/l,2017-07-28,NWIS,2017-07-11T19:15:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01703554,Sample-Routine,Water,Surface Water,2017-03-08,18:15:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455350,L-0820014 Wrote in station id from bottle to ASR.  Changed station I.D. to 11455350 as written on bottle. 3/22/2017 mec,NA,"Stable, normal stage",Routine sample,50.00,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,14.1,ug/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2017-03-31,NA,Lower Reporting Limit,0.1,ug/l,2017-03-31,NWIS,2017-03-09T02:15:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01800824,Sample-Routine,Water,Surface Water,2017-12-05,09:30:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455315,L-3540203 FED EX LATE DELIVERY,NA,"Stable, normal stage",Routine sample,50.00,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,4.7,ug/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2017-12-29,NA,Lower Reporting Limit,0.1,ug/l,2017-12-29,NWIS,2017-12-05T17:30:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01703970,Sample-Routine,Water,Surface Water,2017-04-11,08:30:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455315,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,5.6,ug/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2017-04-21,NA,Lower Reporting Limit,0.1,ug/l,2017-04-21,NWIS,2017-04-11T16:30:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01703189,Sample-Routine,Water,Surface Water,2017-03-01,13:30:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455315,"""L-0660016 Added date to ASR from sample  X=added date to ASR from sample, time =1230""",NA,"Stable, normal stage",Routine sample,50.00,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,0.7,ug/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2017-03-27,NA,Lower Reporting Limit,0.1,ug/l,2017-03-27,NWIS,2017-03-01T21:30:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01704376,Sample-Routine,Water,Surface Water,2017-05-02,10:30:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455315,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,4.9,ug/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2017-05-11,NA,Lower Reporting Limit,0.1,ug/l,2017-05-11,NWIS,2017-05-02T18:30:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01707092,Sample-Routine,Water,Surface Water,2017-08-10,10:45:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455315,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,11.1,ug/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2017-08-30,sample was diluted,Lower Reporting Limit,0.1,ug/l,2017-08-30,NWIS,2017-08-10T18:45:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01706070,Sample-Routine,Water,Surface Water,2017-06-27,14:00:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455315,L-1920025 X=no sta id on bottle,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,2.3,ug/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2017-07-20,NA,Lower Reporting Limit,0.1,ug/l,2017-07-20,NWIS,2017-06-27T22:00:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01800186,Sample-Routine,Water,Surface Water,2017-10-24,08:30:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455350,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,1.6,ug/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2017-11-17,NA,Lower Reporting Limit,0.1,ug/l,2017-11-17,NWIS,2017-10-24T16:30:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01800833,Sample-Routine,Water,Surface Water,2017-12-14,11:15:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455350,L-3550096 FED EX LATE DELIVERY,NA,"Stable, normal stage",Routine sample,50.00,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,1.3,ug/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2018-01-04,NA,Lower Reporting Limit,0.1,ug/l,2018-01-04,NWIS,2017-12-14T19:15:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01707279,Sample-Routine,Water,Surface Water,2017-08-22,10:45:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455350,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,2.2,ug/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2017-09-14,NA,Lower Reporting Limit,0.1,ug/l,2017-09-14,NWIS,2017-08-22T18:45:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01706071,Sample-Routine,Water,Surface Water,2017-06-27,14:30:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455350,L-1920026 X=no sta id on bottle,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,1.6,ug/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2017-07-20,NA,Lower Reporting Limit,0.1,ug/l,2017-07-20,NWIS,2017-06-27T22:30:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01800581,Sample-Routine,Water,Surface Water,2017-11-21,10:15:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455350,NA,NA,"Stable, normal stage",Routine sample,50.00,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,0.9,ug/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2017-12-08,NA,Lower Reporting Limit,0.1,ug/l,2017-12-08,NWIS,2017-11-21T18:15:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01703561,Sample-Routine,Water,Surface Water,2017-03-15,13:15:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455350,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,22.5,ug/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2017-04-06,sample was diluted,Lower Reporting Limit,0.1,ug/l,2017-04-06,NWIS,2017-03-15T21:15:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01800578,Sample-Routine,Water,Surface Water,2017-11-16,11:00:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455315,NA,NA,"Stable, normal stage",Routine sample,50.00,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,0.7,ug/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2017-12-08,NA,Lower Reporting Limit,0.1,ug/l,2017-12-08,NWIS,2017-11-16T19:00:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01703191,Sample-Routine,Water,Surface Water,2017-03-01,15:00:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455350,L-0660018 Added date to ASR from sample  Added date to ASR from sample     time=1402,NA,"Stable, normal stage",Routine sample,50.00,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,4.1,ug/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2017-03-27,NA,Lower Reporting Limit,0.1,ug/l,2017-03-27,NWIS,2017-03-01T23:00:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01800022,Sample-Routine,Water,Surface Water,2017-10-11,17:45:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455350,L-2920163 Deleted LC3152 and added LC8997 per Raynor. 10/23/2017 mec,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Chlorophyll a,NA,1.9,ug/l,NA,Accepted,NA,Estimated,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,FL016,USGS,"Pigments, algae, EPA445.0 w/ACTN",NA,"USGS-National Water Quality Lab, Denver, CO",2017-10-23,value extrapolated at low end,Lower Reporting Limit,0.1,ug/l,2017-10-23,NWIS,2017-10-12T01:45:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01708395,Sample-Routine,Water,Surface Water,2017-09-19,16:42:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455315,gr21846,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Chlorophyll a,NA,1.4,ug/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2017-10-13,NA,Lower Reporting Limit,0.1,ug/l,2017-10-13,NWIS,2017-09-20T00:42:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01707646,Sample-Routine,Water,Surface Water,2017-09-12,11:15:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455315,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Chlorophyll a,NA,1.1,ug/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2017-10-05,NA,Lower Reporting Limit,0.1,ug/l,2017-10-05,NWIS,2017-09-12T19:15:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01702405,Sample-Routine,Water,Surface Water,2017-02-07,13:30:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455315,L-0450020 FED EX LATE DELIVERY,NA,"Stable, normal stage",Routine sample,50.00,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,18.2,ug/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,FL016,USGS,"Pigments, algae, EPA445.0 w/ACTN",NA,"USGS-National Water Quality Lab, Denver, CO",2017-03-01,NA,Lower Reporting Limit,0.1,ug/l,NA,NWIS,2017-02-07T21:30:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01800014,Sample-Routine,Water,Surface Water,2017-10-12,10:45:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455315,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,1.1,ug/l,NA,Preliminary,NA,Estimated,NA,NA,NA,NA,NA,Final extraction volume was 10mL,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2017-11-03,see result comment,Lower Reporting Limit,0.1,ug/l,2017-11-03,NWIS,2017-10-12T18:45:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01705737,Sample-Routine,Water,Surface Water,2017-06-06,08:00:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455315,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,1.8,ug/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2017-06-23,NA,Lower Reporting Limit,0.1,ug/l,2017-06-23,NWIS,2017-06-06T16:00:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01702404,Sample-Routine,Water,Surface Water,2017-02-07,11:15:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455350,L-0450017 FED EX LATE DELIVERY,NA,"Stable, normal stage",Routine sample,50.00,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,9.2,ug/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,FL016,USGS,"Pigments, algae, EPA445.0 w/ACTN",NA,"USGS-National Water Quality Lab, Denver, CO",2017-03-01,NA,Lower Reporting Limit,0.1,ug/l,NA,NWIS,2017-02-07T19:15:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01708393,Sample-Routine,Water,Surface Water,2017-09-19,15:39:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455350,gr21844,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Chlorophyll a,NA,1.4,ug/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2017-10-13,NA,Lower Reporting Limit,0.1,ug/l,2017-10-13,NWIS,2017-09-19T23:39:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01704380,Sample-Routine,Water,Surface Water,2017-05-02,12:30:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455315,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,7.4,ug/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2017-05-11,NA,Lower Reporting Limit,0.1,ug/l,2017-05-11,NWIS,2017-05-02T20:30:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01707673,Sample-Routine,Water,Surface Water,2017-09-14,09:30:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455350,L-2620015 X no sta id on sample Frozen containers received warm at 32.1  Degrees C,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,2.6,ug/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2017-10-05,NA,Lower Reporting Limit,0.1,ug/l,2017-10-05,NWIS,2017-09-14T17:30:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01703560,Sample-Routine,Water,Surface Water,2017-03-15,12:15:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455315,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,21,ug/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2017-04-06,sample was diluted,Lower Reporting Limit,0.1,ug/l,2017-04-06,NWIS,2017-03-15T20:15:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01706528,Sample-Routine,Water,Surface Water,2017-07-20,08:15:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455350,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,2.2,ug/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2017-08-01,NA,Lower Reporting Limit,0.1,ug/l,2017-08-01,NWIS,2017-07-20T16:15:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01800020,Sample-Routine,Water,Surface Water,2017-10-11,16:10:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455315,L-2910029 X=date on sample is 10/11/2017.  Deleted LC3152 and added LC8997 per Raynor. 10/23/2017 mec. Updated Date from 10/17/2017 per S. Gosselink. JPC 6/19/18,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Chlorophyll a,NA,3,ug/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,FL016,USGS,"Pigments, algae, EPA445.0 w/ACTN",NA,"USGS-National Water Quality Lab, Denver, CO",2017-10-31,NA,Lower Reporting Limit,0.1,ug/l,2017-10-31,NWIS,2017-10-12T00:10:00Z,NA
